wards_code,wards_name,fem_exp,male_exp,nondepri_share,act_share
E05005450,Syston West,80.9,78.9,0.5296229802513465,0.6299584435209671
E05005451,The Wolds,85.2,84.9,0.6384439359267735,0.6219421793921425
E05005452,Thurmaston,81.4,79.1,0.4335403726708075,0.5873780412498456
E05005453,Wreake Villages,85.1,81.6,0.6246913580246913,0.5892644135188867
E05005479,Ambien,85.7,83.2,0.5612698412698413,0.6032642812303829
E05005480,"Barlestone, Nailstone and Osbaston",89.3,80.8,0.509594882729211,0.6096139839766934
E05005481,Barwell,81.2,78.8,0.4576479253621409,0.6133966244725738
E05005482,Burbage St Catherines and Lash Hill,83.8,80.5,0.4548148148148148,0.5563463819691578
E05005483,Burbage Sketchley and Stretton,86.3,84.6,0.577953447518665,0.6314202898550725
E05005484,"Cadeby, Carlton and Market Bosworth with Shackerstone",85.2,79.9,0.5927573062261754,0.5400196014374388
E05005485,Earl Shilton,83.2,80.3,0.4622986036519871,0.6108318098720292
E05005486,Groby,90.8,82.7,0.5585492227979275,0.5994308075418001
E05005487,Hinckley Castle,82.3,79,0.4725816389402341,0.6542314335060448
E05005488,Hinckley Clarendon,83.9,80.9,0.5306974459724951,0.6833069202324353
E05005489,Hinckley De Montfort,83.5,80.4,0.5253623188405797,0.6180688876341051
E05005490,Hinckley Trinity,81.6,77.3,0.4815409309791332,0.6369598116697495
E05005491,"Markfield, Stanton and Fieldhead",85.3,81.7,0.5034457743924555,0.57
E05005492,Newbold Verdon with Desford and Peckleton,82.7,80.6,0.5330073349633252,0.5811460766799506
E05005493,"Ratby, Bagworth and Thornton",83,81.9,0.5232632249840663,0.6381535407015222
E05005494,Twycross and Witherley with Sheepy,86.2,82.1,0.5656108597285068,0.5757350204689244
E05005495,Asfordby,83,83.1,0.492949110974862,0.6294536817102137
E05005496,Bottesford,87.1,81.8,0.5332519829164124,0.5555195856264163
