code,label,obesity_nq5,low_birth_wgt,male_exp,fem_exp,unemploy,deprivation,obesity_prevalence
E05008817,Newhall and Stanton,3 - Quintile 3,11,76.5,82.9,4.4,25.2,27.8
E05008818,Repton,2 - Quintile 2,6.4,78,84.2,1.2,7.8,27.3
E05008819,Seales,3 - Quintile 3,5.9,78.4,80.4,2.9,15.1,25
E05008820,Stenson,3 - Quintile 3,10.9,80.3,82.8,2.4,13.4,23.3
E05008821,Swadlincote,2 - Quintile 2,7.9,77.8,80.8,3.4,20.1,28.9
E05008822,Willington and Findern,2 - Quintile 2,6.1,83.9,86.8,2.4,8.2,24.1
E05008823,Woodville,4 - Quintile 4,7.3,77.2,80.1,3.7,17.9,26.5
E05008857,Abbott,2 - Quintile 2,8.5,77.7,81.5,4.2,30.1,N/A - not available
E05008858,Berry Hill,2 - Quintile 2,3.7,79.8,82.8,1.3,6.5,23.1
E05008859,Brick Kiln,4 - Quintile 4,6.7,80.4,82,4.5,27.7,15
E05008860,Broomhill,2 - Quintile 2,5.7,75.6,79.9,8,34,33.3
E05008861,Bull Farm and Pleasley Hill,3 - Quintile 3,7.7,77,78.7,5.4,35.6,26.9
E05008862,Carr Bank,3 - Quintile 3,4.9,73.5,74.3,7.8,45.8,24
E05008863,Eakring,3 - Quintile 3,N/A - not available,79.1,83.6,1.5,7.9,18.8
E05008864,Grange Farm,5 - Quintile 5 Lowest 20%,6.5,81.2,80.5,2.3,9,25
E05008865,Holly,5 - Quintile 5 Lowest 20%,7.2,81.4,84.3,2.3,8,22.2
E05008866,Hornby,2 - Quintile 2,5.9,77,87.1,1.3,10.3,28.6
E05008867,Kings Walk,2 - Quintile 2,2.5,N/A - not available,85.4,2.1,7.3,13
E05008868,Kingsway,3 - Quintile 3,7.5,77.9,80.4,4.6,21.1,18.2
E05008869,Ladybrook,3 - Quintile 3,12.5,76.8,84,7.9,41.9,25
E05008870,Lindhurst,3 - Quintile 3,N/A - not available,83.7,85.6,1.9,10.2,16.7
E05008871,Ling Forest,2 - Quintile 2,4.8,79.5,85,2.4,11.3,12.5
E05008872,Manor,3 - Quintile 3,N/A - not available,81.3,84.9,1.7,11,18.2
E05008873,Market Warsop,2 - Quintile 2,8.6,74.5,78.4,6.8,32.5,26.1
E05008874,Maun Valley,2 - Quintile 2,6.6,80,81.3,2.9,17.5,28.6
E05008875,Meden,2 - Quintile 2,4.9,76.5,82.6,4.6,30.8,21.4
E05008876,Netherfield,1 - Quintile 1 Highest 20%,11.7,78.7,84.5,5.4,32.4,23.5
E05008877,Newgate,2 - Quintile 2,7.9,68.3,76.7,9.4,49.5,26.1
E05008878,Newlands,2 - Quintile 2,3.9,77.5,83.9,3.5,26.3,22.7
E05008879,Oak Tree,2 - Quintile 2,8.4,75.6,78.5,8.7,61.3,20
E05008880,Oakham,2 - Quintile 2,10.9,83.2,87.8,1.7,13.4,13.3
E05008881,Park Hall,2 - Quintile 2,7.5,76.4,78.9,4.8,29.7,26.1
E05008882,Peafields,2 - Quintile 2,6.9,80.1,82.4,4.6,22.8,16.7
E05008883,Penniment,3 - Quintile 3,4.7,80.8,83.3,4.9,33,17.6
E05008884,Portland,1 - Quintile 1 Highest 20%,8.6,75.9,81.3,9.4,46.8,33.3
E05008885,Racecourse,1 - Quintile 1 Highest 20%,10.3,76.6,82,4.9,27.9,25
E05008886,Ransom Wood,3 - Quintile 3,9.4,74.7,79.9,7.9,52.5,31.6
E05008887,Sandhurst,3 - Quintile 3,4,80.8,84.7,4.8,15.5,18.2
E05008888,Sherwood,2 - Quintile 2,7.6,81.1,79.1,3.7,35.4,25
E05008889,Warsop Carrs,2 - Quintile 2,8.1,79.4,82.3,4.9,35.6,25.7
E05008890,Woodhouse,2 - Quintile 2,10.7,73,79.5,7.1,43.5,32.1
E05008891,Woodlands,2 - Quintile 2,4.4,74.9,80.5,6.6,26.8,N/A - not available
E05008892,Yeoman Hill,2 - Quintile 2,7.1,79.2,83.7,4.2,27.7,21.4
E05009619,Forest,1 - Quintile 1 Highest 20%,3.6,80.9,82.6,2.2,8.5,16.7
E05009620,Winstanley,1 - Quintile 1 Highest 20%,5.7,80.9,86.1,3.6,13.3,19.6
E05009621,Coastal,2 - Quintile 2,6.1,81.2,84.8,3.2,22.3,33.3
E05009622,Fenside,2 - Quintile 2,5.2,77.1,82.1,7.6,37.2,35
E05009623,Fishtoft,2 - Quintile 2,5.9,79.4,82.8,3.5,15.9,24.4
E05009624,Five Village,1 - Quintile 1 Highest 20%,8.2,76.8,87.7,3.4,28.2,25
E05009625,Kirton and Frampton,2 - Quintile 2,7.3,78.8,81.4,4.5,19.2,20
